og_id,consensus_product,total_member_count,total_organism_count,proc_strains,proc_members,proc_hypo_members,frac_hypo
cyanorak:CK_00007993,photosystem I core protein PsaA,21,21,17,17,0,0.0
cyanorak:CK_00000032,photosystem I core protein PsaB,23,21,17,19,0,0.0
cyanorak:CK_00000502,"beta-glycosyltransferase, family 2",21,21,17,17,0,0.0
cyanorak:CK_00001992,photosystem I reaction center subunit VIII,21,21,17,17,0,0.0
cyanorak:CK_00000501,photosystem I reaction centre subunit XI,21,21,17,17,0,0.0
cyanorak:CK_00000503,NLP/P60,21,21,17,17,0,0.0
cyanorak:CK_00000504,beta-lactamase enzyme family protein,21,21,17,17,0,0.0
cyanorak:CK_00008046,lipoyl synthase,21,21,17,17,0,0.0
cyanorak:CK_00001203,YCII-like domain protein,21,21,17,17,0,0.0
cyanorak:CK_00000134,ferredoxin-dependent glutamate synthase,21,21,17,17,0,0.0
cyanorak:CK_00000497,30S ribosomal protein S12,21,21,17,17,0,0.0
cyanorak:CK_00000496,30S ribosomal protein S7,21,21,17,17,0,0.0
cyanorak:CK_00000495,elongation factor G,21,21,17,17,0,0.0
cyanorak:CK_00000494,elongation factor EF-Tu,21,21,17,17,0,0.0
cyanorak:CK_00000493,30S ribosomal protein S10,21,21,17,17,0,0.0
cyanorak:CK_00000491,2-methyl-6-phytylbenzoquinone methyltransferase,21,21,17,17,0,0.0
cyanorak:CK_00000490,prephenate dehydratase,21,21,17,17,0,0.0
cyanorak:CK_00000488,ribonuclease HII,21,21,17,17,0,0.0
cyanorak:CK_00000487,ribonuclease E,21,21,17,17,0,0.0
cyanorak:CK_00000486,LL-diaminopimelate aminotransferase,21,21,17,17,0,0.0
cyanorak:CK_00000485,ATP-dependent Clp protease adaptor protein ClpS,21,21,17,17,0,0.0
cyanorak:CK_00000483,radical SAM superfamily protein,21,21,17,17,0,0.0
cyanorak:CK_00001067,translation initiation factor IF-2,22,21,17,17,0,0.0
cyanorak:CK_00001065,transcription termination factor NusA,21,21,17,17,0,0.0
cyanorak:CK_00001064,ribosome maturation factor RimP,21,21,17,17,0,0.0
cyanorak:CK_00000013,photosystem II assembly factor,21,21,17,17,0,0.0
cyanorak:CK_00039172,ribose 5-phosphate isomerase A,21,21,17,17,0,0.0
cyanorak:CK_00001063,histidinol dehydrogenase,21,21,17,17,0,0.0
cyanorak:CK_00001062,30S ribosomal protein S20,21,21,17,17,0,0.0
cyanorak:CK_00001061,Mg-dependent DNase,21,21,17,17,0,0.0
cyanorak:CK_00000181,"DNA-directed RNA polymerase, beta subunit",21,21,17,17,0,0.0
cyanorak:CK_00001060,"DNA-directed RNA polymerase complex, gamma subunit",21,21,17,17,0,0.0
cyanorak:CK_00001059,"DNA-directed RNA polymerase, beta^^ subunit",21,21,17,17,0,0.0
cyanorak:CK_00001058,high light inducible protein,21,21,17,17,0,0.0
cyanorak:CK_00001057,23S rRNA (adenine2503-C2)-methyltransferase,21,21,17,17,0,0.0
cyanorak:CK_00001056,PBS lyase HEAT-like repeat domain-containing protein,21,21,17,17,0,0.0
cyanorak:CK_00001516,Conserved hypothetical protein,21,21,17,17,0,0.0
cyanorak:CK_00001055,regulator of CO2 utilization Ycf35,21,21,17,17,0,0.0
cyanorak:CK_00000180,3Fe-4S ferredoxin,21,21,17,17,0,0.0
cyanorak:CK_00001054,NADP-dependent oxidoreductase,21,21,17,17,0,0.0
cyanorak:CK_00001053,16S rRNA (guanine(527)-N(7))-methyltransferase GidB,21,21,17,17,0,0.0
cyanorak:CK_00001052,DnaJ type III chaperone protein,21,21,17,17,0,0.0
cyanorak:CK_00001051,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,21,21,17,17,0,0.0
cyanorak:CK_00001307,malonyl-CoA O-methyltransferase,21,21,17,17,0,0.0
cyanorak:CK_00001306,pimeloyl-[acyl-carrier protein] methyl ester esterase,21,21,17,17,0,0.0
cyanorak:CK_00001049,8-amino-7-oxononanoate synthase,21,21,17,17,0,0.0
cyanorak:CK_00001048,"ATP-dependent DNA/RNA helicase, superfamily 1/2",21,21,17,17,0,0.0
cyanorak:CK_00001047,"fumarate hydratase, class II",21,21,17,17,0,0.0
cyanorak:CK_00001128,adenylosuccinate lyase,21,21,17,17,0,0.0
cyanorak:CK_00041292,ribosomal RNA methyltransferase FtsJ family,21,21,17,17,0,0.0
cyanorak:CK_00000186,nitrogen regulatory protein P-II,21,21,17,17,0,0.0
cyanorak:CK_00001127,7-cyano-7-deazaguanine reductase,21,21,17,17,0,0.0
cyanorak:CK_00001126,cytochrome c biogenesis protein,21,21,17,17,0,0.0
cyanorak:CK_00001125,cytochrome c-type biogenesis protein,21,21,17,17,0,0.0
cyanorak:CK_00001124,cell division protein FtsW,21,21,17,17,0,0.0
cyanorak:CK_00001123,ATP synthase protein I,21,21,17,17,0,0.0
cyanorak:CK_00001122,ATP synthase A chain,21,21,17,17,0,0.0
cyanorak:CK_00001120,ATP synthase B^,21,21,17,17,0,0.0
cyanorak:CK_00001119,ATP synthase subunit B,21,21,17,17,0,0.0
cyanorak:CK_00001118,ATP synthase delta chain,21,21,17,17,0,0.0
cyanorak:CK_00001117,ATP synthase alpha chain,21,21,17,17,0,0.0
cyanorak:CK_00001116,ATP synthase gamma chain,21,21,17,17,0,0.0
cyanorak:CK_00001115,conserved hypothetical protein (DUF3326),21,21,17,17,0,0.0
cyanorak:CK_00001114,NAD+ synthase (glutamine-hydrolysing),21,21,17,17,0,0.0
cyanorak:CK_00001113,nicotinate (nicotinamide) nucleotide adenylyltransferase,21,21,17,17,0,0.0
cyanorak:CK_00000184,GTP-binding protein of unknown function (DUF697),21,21,17,17,0,0.0
cyanorak:CK_00001112,CBS and DUF21 domain-containing protein,21,21,17,17,0,0.0
cyanorak:CK_00001111,Xaa-Pro aminopeptidase,21,21,17,17,0,0.0
cyanorak:CK_00001109,ribosomal protein Ycf65,21,21,17,17,0,0.0
cyanorak:CK_00001108,ATP synthase epsilon chain,21,21,17,17,0,0.0
