organism_name,locus_tag,gene_name,product,function_description,kegg_ko_id,kegg_ko_name,tcdb_family,brite_leaf,sources,gene_category,in_brite,in_kegg,in_tcdb,in_annotation
Alteromonas macleodii HOT1A3,ACZ81_03245,,efflux RND transporter periplasmic adaptor subunit,Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,K03585,"acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system",2.A.6.2 ; 8.A.1.6,Accessory factors involved in transport [TC:8],brite|kegg|tcdb|annotation,Cell wall and membrane,True,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_03250,acrF,efflux RND transporter permease subunit,Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family,K18138,"acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump",2.A.6.2,Electrochemical potential-driven transporters [TC:2],brite|kegg|tcdb|annotation,Defense mechanisms,True,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_03255,,type 2 periplasmic-binding domain-containing protein,Phosphate ABC transporter substrate-binding protein,,,,,annotation,Inorganic ion transport,False,False,False,True
Alteromonas macleodii HOT1A3,ACZ81_03335,benE,benzoate/H(+) symporter BenE family transporter,protein involved in benzoate metabolism,K05782,benE; benzoate membrane transport protein,2.A.46.1,Electrochemical potential-driven transporters [TC:2],brite|kegg|tcdb|annotation,Secondary metabolites,True,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_03365,pstS,PstS family phosphate ABC transporter substrate-binding protein,"COG0226 ABC-type phosphate transport system, periplasmic component",K02040,pstS; phosphate transport system substrate-binding protein,3.A.1.7,Phosphate transporter,brite|kegg|tcdb|annotation,Inorganic ion transport,True,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_03375,,TonB-dependent receptor domain-containing protein,"COG1629 Outer membrane receptor proteins, mostly Fe transport",,,,,annotation,Inorganic ion transport,False,False,False,True
Alteromonas macleodii HOT1A3,ACZ81_03385,,MotA/TolQ/ExbB proton channel family protein,MotA TolQ ExbB proton channel,K03561,exbB; biopolymer transport protein ExbB,1.A.30.2.1,Pores ion channels [TC:1],brite|kegg|tcdb|annotation,Intracellular trafficking,True,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_03390,,MotA/TolQ/ExbB proton channel family protein,MotA/TolQ/ExbB proton channel family,K03561,exbB; biopolymer transport protein ExbB,1.A.30.2.1,Pores ion channels [TC:1],brite|kegg|tcdb|annotation,Intracellular trafficking,True,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_03395,,ExbD/TolR family protein,Biopolymer transport protein,K03559,exbD; biopolymer transport protein ExbD,1.A.30.2.1,Pores ion channels [TC:1],brite|kegg|tcdb|annotation,Intracellular trafficking,True,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_03400,,energy transducer TonB,"Interacts with outer membrane receptor proteins that carry out high-affinity binding and energy dependent uptake into the periplasmic space of specific substrates. It could act to transduce energy from the cytoplasmic membrane to specific energy- requiring processes in the outer membrane, resulting in the release into the periplasm of ligands bound by these outer membrane proteins",K03832,tonB; periplasmic protein TonB,2.C.1.1,Electrochemical potential-driven transporters [TC:2],brite|kegg|tcdb|annotation,Cell wall and membrane,True,True,True,True
