locus_tag,gene_name,product,timepoint,log2fc,padj,expression_status,experiment_id
ACZ81_01745,,methyl-accepting chemotaxis protein,day 18,-0.8010556802019301,0.0155517508304584,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05225,fliQ,flagellar biosynthesis protein FliQ,day 18,0.8006688570568548,0.1743827607221595,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05175,fliG,flagellar motor switch protein FliG,day 60,-0.8003982934463992,0.0911275968222793,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_18475,aer-1,methyl-accepting chemotaxis protein,day 18,-0.7892828212138121,0.0768246968247304,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_01425,cheA,chemotaxis protein CheW,day 18,-0.7875415506916037,0.2327106453410246,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_01495,cheB,protein-glutamate methylesterase/protein-glutamine glutaminase,day 89,-0.7858354798630881,0.106818595257294,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_RS21445,bdlA,methyl-accepting chemotaxis protein,days 60+89,-0.7802169380352234,0.2213014136336299,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05215,fliO,flagellar biosynthetic protein FliO,day 60,0.778168743555273,0.2179856376146666,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05210,fliN,flagellar motor switch protein FliN,day 89,-0.7764802967265722,0.2017651024136945,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05250,flhA,flagellar biosynthesis protein FlhA,day 31,0.7734688526309746,0.2816627418081412,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
