cluster,direction,timepoint,term_id,term_name,count,bg_count,gene_ratio,fold_enrichment,pvalue,p_adjust,signed_score
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko05014,Amyotrophic lateral sclerosis,2,6,2/578,1.2831603229527107,0.4892601312109141,0.7995226534422255,-0.09716922656993403
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko05016,Huntington disease,2,6,2/578,1.2831603229527107,0.4892601312109141,0.7995226534422255,-0.09716922656993403
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko05022,Pathways of neurodegeneration - multiple diseases,2,6,2/578,1.2831603229527107,0.4892601312109141,0.7995226534422255,-0.09716922656993403
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko05111,Biofilm formation - Vibrio cholerae,8,28,8/578,1.0998517053880377,0.44751475699884435,0.7995226534422255,-0.09716922656993403
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko05132,Salmonella infection,3,9,3/578,1.2831603229527104,0.426754958736627,0.7995226534422255,-0.09716922656993403
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko05134,Legionellosis,2,6,2/578,1.2831603229527107,0.4892601312109141,0.7995226534422255,-0.09716922656993403
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko05207,Chemical carcinogenesis - receptor activation,2,6,2/578,1.2831603229527107,0.4892601312109141,0.7995226534422255,-0.09716922656993403
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00340,Histidine metabolism,4,15,4/578,1.0265282583621684,0.5739462512344385,0.8723424126602439,-0.05931301192572331
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00460,Cyanoamino acid metabolism,3,11,3/578,1.0498584460522178,0.5750683077856182,0.8723424126602439,-0.05931301192572331
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00780,Biotin metabolism,2,7,2/578,1.0998517053880377,0.5793916024385203,0.8723424126602439,-0.05931301192572331
