reference_class,substrate,carrier_family,tier,n_systems,experiment_label,omics,arm,timepoint,module_percentile,q
control-ABC,bile acid:Na+,SSS,single-gene,1,co d89,rnaseq,coculture,day 89,0.5928553331644287,0.6948430156984302
control-ABC,Nramp family divalent metal,secondary-carrier-inorganic,single-gene,1,co d89,rnaseq,coculture,day 89,0.6759564225994427,0.6313511505992259
control-TonB,outer-membrane,other,single-gene,1,co d89,rnaseq,coculture,day 89,0.8180896883709147,0.6275833955066031
control-TonB,TonB-dependent,other,single-gene,12,co d89,rnaseq,coculture,day 89,0.921966050164682,0.7756815227568151
control-TonB,iron complex outermembrane recepter protein,other,single-gene,12,co d89,rnaseq,coculture,day 89,0.9918925766404865,0.5005299470052995
control-TonB,outer membrane,other,single-gene,1,co d89,rnaseq,coculture,day 89,0.981251583481125,0.2632236776322368
ambiguous-TonB,TonB-dependent,enzyme;other,single-gene,17,co d89,rnaseq,coculture,day 89,0.954649100582721,0.7696801748396589
ambiguous-TonB,periplasmic protein TonB,other,single-gene,4,co d89,rnaseq,coculture,day 89,0.9883455789206993,0.3932606739326067
ambiguous-TonB,outer membrane,exporter,single-gene,1,co d89,rnaseq,coculture,day 89,0.40233088421586016,0.7696801748396589
ambiguous-TonB,iron complex outermembrane recepter protein,other,single-gene,14,co d89,rnaseq,coculture,day 89,0.9802381555611858,0.6275833955066031
ambiguous-TonB,catecholate siderophore,other,single-gene,2,co d89,rnaseq,coculture,day 89,0.8482391689891057,0.6275833955066031
ambiguous-TonB,energy transducer TonB,other,single-gene,1,co d89,rnaseq,coculture,day 89,0.8674942994679503,0.6047395260473952
ambiguous-TonB,hemoglobin/transferrin/lactoferrin,other,single-gene,1,co d89,rnaseq,coculture,day 89,0.19837851532809728,0.8531146885311469
control-ABC,iron(III),ABC-subunit,multi-subunit,1,co d60+89,rnaseq,coculture,days 60+89,0.19153787686850773,0.9018098190180983
control-ABC,nitrate/nitrite,ABC-subunit,multi-subunit,1,co d60+89,rnaseq,coculture,days 60+89,0.997466430200152,0.0026997300269973002
control-ABC,phosphate,ABC-subunit,multi-subunit,1,co d60+89,rnaseq,coculture,days 60+89,0.529516088168229,0.756974302569743
control-ABC,sodium,ABC-subunit,single-gene,1,co d60+89,rnaseq,coculture,days 60+89,0.6052698251836838,0.756974302569743
control-ABC,iron complex,ABC-subunit,single-gene,3,co d60+89,rnaseq,coculture,days 60+89,0.8593868761084368,0.7235276472352765
control-ABC,ynjB ::,ABC-subunit,multi-subunit,1,co d60+89,rnaseq,coculture,days 60+89,0.8837091461869775,0.32216778322167783
control-ABC,molybdate,ABC-subunit,multi-subunit,1,co d60+89,rnaseq,coculture,days 60+89,0.5553585001266785,0.756974302569743
control-ABC,PhnD/SsuA/transferrin family,ABC-subunit,single-gene,1,co d60+89,rnaseq,coculture,days 60+89,0.25918419052444897,0.8202859714028596
control-ABC,phosphonate,ABC-subunit,single-gene,1,co d60+89,rnaseq,coculture,days 60+89,0.24094248796554346,0.8202859714028596
control-ABC,trk/ktr system potassium,secondary-carrier-inorganic,single-gene,2,co d60+89,rnaseq,coculture,days 60+89,0.5224220927286547,0.8202859714028596
control-ABC,solute:Na+,SSS,single-gene,3,co d60+89,rnaseq,coculture,days 60+89,0.8026349125918419,0.756974302569743
control-ABC,NRAMP family divalent metal,secondary-carrier-inorganic,single-gene,1,co d60+89,rnaseq,coculture,days 60+89,0.1580947555105143,0.8740895141255105
control-ABC,serine/threonine,APC,single-gene,1,co d60+89,rnaseq,coculture,days 60+89,0.6807702052191538,0.7275772422757724
control-ABC,neurotransmitter:Na+,SSS,single-gene,2,co d60+89,rnaseq,coculture,days 60+89,0.7071193311375729,0.756974302569743
control-ABC,bile acid:Na+,SSS,single-gene,1,co d60+89,rnaseq,coculture,days 60+89,0.5882949075247023,0.756974302569743
control-ABC,Nramp family divalent metal,secondary-carrier-inorganic,single-gene,1,co d60+89,rnaseq,coculture,days 60+89,0.7104129718773752,0.7235276472352765
control-TonB,outer-membrane,other,single-gene,1,co d60+89,rnaseq,coculture,days 60+89,0.899417278946035,0.47380261973802623
control-TonB,TonB-dependent,other,single-gene,12,co d60+89,rnaseq,coculture,days 60+89,0.9065112743856093,0.8202859714028596
control-TonB,iron complex outermembrane recepter protein,other,single-gene,12,co d60+89,rnaseq,coculture,days 60+89,0.9931593615404104,0.42061793820617943
control-TonB,outer membrane,other,single-gene,1,co d60+89,rnaseq,coculture,days 60+89,0.9817582974410946,0.2578242175782422
ambiguous-TonB,TonB-dependent,enzyme;other,single-gene,17,co d60+89,rnaseq,coculture,days 60+89,0.9429946795034203,0.8202859714028596
ambiguous-TonB,periplasmic protein TonB,other,single-gene,4,co d60+89,rnaseq,coculture,days 60+89,0.9860653661008361,0.352989701029897
ambiguous-TonB,outer membrane,exporter,single-gene,1,co d60+89,rnaseq,coculture,days 60+89,0.34557892069926527,0.8202859714028596
