locus_tag,log2fc,expression_status,timepoint
ACZ81_19615,2.917157041816976,significant_up,day 31
ACZ81_08570,2.9166588309792902,significant_up,day 31
ACZ81_04785,2.91308901255425,significant_up,day 31
ACZ81_03645,2.912898928027458,significant_up,day 89
ACZ81_05790,2.910384117057084,significant_up,days 60+89
ACZ81_19040,2.908028655348774,significant_up,day 60
ACZ81_16450,-2.9080203443848136,significant_down,day 31
ACZ81_01905,-2.9076279350183984,significant_down,days 60+89
ACZ81_01910,-2.9042474038249284,significant_down,days 60+89
ACZ81_RS21295,2.9021780756074578,significant_up,days 60+89
ACZ81_01915,-2.901691414750819,significant_down,day 18
ACZ81_13200,2.9011541892796675,not_significant,day 31
ACZ81_05060,-2.900358109388868,significant_down,day 18
ACZ81_01460,-2.8981140464456017,significant_down,days 60+89
ACZ81_16780,-2.8977799843652,significant_down,day 60
ACZ81_13190,2.890686924024223,not_significant,days 60+89
ACZ81_04275,-2.8897593776834043,significant_down,day 18
ACZ81_18695,-2.8897144920209223,significant_down,day 60
ACZ81_RS21415,2.88743906793095,not_significant,day 60
ACZ81_01470,-2.88352009026907,significant_down,day 31
ACZ81_16770,-2.8788078606908862,significant_down,day 60
ACZ81_04440,-2.875240222922452,significant_down,day 89
ACZ81_01470,-2.8730351950254875,significant_down,days 60+89
ACZ81_16545,2.867911594081023,significant_up,day 18
ACZ81_18655,-2.8663135630805705,significant_down,day 31
ACZ81_07885,-2.862099321369988,significant_down,day 18
ACZ81_12345,-2.85690505271028,significant_down,days 60+89
ACZ81_08510,-2.855350054094369,significant_down,days 60+89
ACZ81_09620,2.854575909323637,significant_up,day 60
ACZ81_13940,2.8535730049011945,significant_up,day 18
ACZ81_10145,-2.850646352711093,significant_down,days 60+89
ACZ81_13190,2.850156157165068,not_significant,day 31
ACZ81_06065,2.849212856203874,not_significant,day 60
ACZ81_14620,-2.847970453298128,significant_down,day 31
ACZ81_18990,2.847827622315166,not_significant,day 60
ACZ81_02340,-2.8458005178848738,significant_down,day 31
ACZ81_17685,2.8367234471338545,significant_up,day 31
ACZ81_16155,2.836185851299952,not_significant,day 60
ACZ81_14990,-2.835368129824215,significant_down,day 89
ACZ81_14655,2.83343196618941,significant_up,days 60+89
ACZ81_07895,-2.8323209719136893,significant_down,day 18
ACZ81_03645,2.8323123544689963,significant_up,days 60+89
ACZ81_10140,-2.8316449770173864,significant_down,day 89
ACZ81_06065,2.8260231934580857,not_significant,day 31
ACZ81_08360,2.823550351451587,significant_up,day 60
ACZ81_03405,2.814416255322035,significant_up,day 89
ACZ81_19160,-2.8127363298561647,significant_down,day 60
ACZ81_01335,-2.811111982672277,significant_down,day 89
ACZ81_13735,-2.81044595162863,significant_down,day 60
ACZ81_09625,2.8099458424221524,significant_up,days 60+89
ACZ81_19155,-2.80827676127728,significant_down,day 60
ACZ81_16255,-2.807207177166379,significant_down,day 18
ACZ81_13595,-2.804778055698047,significant_down,day 89
ACZ81_05785,2.8007223116107927,significant_up,day 60
ACZ81_17965,2.7985346245141733,significant_up,day 31
ACZ81_02020,-2.798348224563468,significant_down,day 60
ACZ81_19615,2.796762554262511,significant_up,day 60
ACZ81_06955,2.79594911479593,significant_up,day 31
ACZ81_00205,-2.7934515721068847,significant_down,day 31
ACZ81_16130,-2.7918046695009417,significant_down,day 60
ACZ81_18650,-2.790593301794185,significant_down,day 89
ACZ81_16230,-2.785774404243773,significant_down,day 18
