locus_tag,strain,route,product,value,og_group_id,og_level,og_product
MIT1002_00385,Alteromonas macleodii MIT1002,vesicle,50S ribosomal protein L4,0.5,eggnog:464IZ@72275,Alteromonadaceae,50S ribosomal protein L4
MIT1002_00393,Alteromonas macleodii MIT1002,vesicle,30S ribosomal protein S17,0.5,eggnog:467RN@72275,Alteromonadaceae,30S ribosomal protein S17
MIT1002_00516,Alteromonas macleodii MIT1002,vesicle,thioredoxin TrxA,0.5,eggnog:467AS@72275,Alteromonadaceae,thioredoxin TrxA
MIT1002_00951,Alteromonas macleodii MIT1002,vesicle,phosphopyruvate hydratase,0.5,eggnog:464ZZ@72275,Alteromonadaceae,phosphopyruvate hydratase
MIT1002_01005,Alteromonas macleodii MIT1002,vesicle,translation elongation factor Ts,0.5,eggnog:464QB@72275,Alteromonadaceae,translation elongation factor Ts
MIT1002_01949,Alteromonas macleodii MIT1002,vesicle,2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase,0.5,eggnog:464AW@72275,Alteromonadaceae,2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase
MIT1002_02189,Alteromonas macleodii MIT1002,vesicle,30S ribosomal protein S1,0.5,eggnog:464BF@72275,Alteromonadaceae,30S ribosomal protein S1
MIT1002_03321,Alteromonas macleodii MIT1002,vesicle,acetaldehyde dehydrogenase ExaC,0.5,eggnog:465NN@72275,Alteromonadaceae,acetaldehyde dehydrogenase ExaC
MIT1002_03588,Alteromonas macleodii MIT1002,vesicle,30S ribosomal protein S13,0.5,eggnog:467N1@72275,Alteromonadaceae,30S ribosomal protein S13
MIT1002_03734,Alteromonas macleodii MIT1002,vesicle,50S ribosomal protein L7/L12,0.5,eggnog:46787@72275,Alteromonadaceae,50S ribosomal protein L7/L12
MIT1002_03935,Alteromonas macleodii MIT1002,vesicle,chaperonin GroEL,0.5,eggnog:4647Z@72275,Alteromonadaceae,chaperonin GroEL
MIT1002_00054,Alteromonas macleodii MIT1002,vesicle,50S ribosomal protein L28,0.4,eggnog:467R5@72275,Alteromonadaceae,50S ribosomal protein L28
MIT1002_01308,Alteromonas macleodii MIT1002,vesicle,30S ribosomal protein S16,0.4,eggnog:467U2@72275,Alteromonadaceae,30S ribosomal protein S16
MIT1002_01734,Alteromonas macleodii MIT1002,vesicle,acyl carrier protein,0.4,eggnog:467SY@72275,Alteromonadaceae,acyl carrier protein
MIT1002_01830,Alteromonas macleodii MIT1002,vesicle,NADP-dependent isocitrate dehydrogenase,0.4,eggnog:464R6@72275,Alteromonadaceae,NADP-dependent isocitrate dehydrogenase
MIT1002_01946,Alteromonas macleodii MIT1002,vesicle,succinate dehydrogenase flavoprotein subunit,0.4,eggnog:4646I@72275,Alteromonadaceae,succinate dehydrogenase flavoprotein subunit
MIT1002_02126,Alteromonas macleodii MIT1002,vesicle,bacterioferritin,0.4,eggnog:466EC@72275,Alteromonadaceae,bacterioferritin
