og_group_id,og_product,substrate,best_tier,n_strains,strains,n_genes,captured_in_extruded
eggnog:467Z3@72275,acyloxyacyl hydrolase,lipid/ester,A: degradative + exported,4,AD45;ATCC27126;EZ55;HOT1A3,4,False
eggnog:1QJMD@1224,esterase/lipase family protein,lipid/ester,A: degradative + exported,3,ATCC27126;BGP6;EZ55,3,False
eggnog:467Z2@72275,alpha/beta hydrolase,lipid/ester,A: degradative + exported,3,EZ55;HOT1A3;MIT1002,3,False
eggnog:1MUCD@1224,alpha/beta hydrolase,lipid/ester,"B: degradative, export uncertain",2,ATCC27126;EZ55,2,False
eggnog:COG2819@2,alpha/beta hydrolase,lipid/ester,A: degradative + exported,2,ATCC27126;BGP6,2,False
eggnog:1NRMA@1224,rhamnogalacturonan acetylesterase,lipid/ester,A: degradative + exported,1,MIT1002,1,False
eggnog:1Q82E@1224,hypothetical protein,lipid/ester,A: degradative + exported,1,EZ55,1,False
eggnog:1R49D@1224,serine hydrolase domain-containing protein,lipid/ester,A: degradative + exported,1,BS11,1,False
eggnog:1R852@1224,CBASS cGAMP-activated phospholipase,lipid/ester,"B: degradative, export uncertain",1,MIT1002,1,False
eggnog:32VSR@2,lipase family protein,lipid/ester,"B: degradative, export uncertain",1,BGP6,1,False
eggnog:4669M@72275,patatin-like phospholipase family protein,lipid/ester,"B: degradative, export uncertain",1,BS11,1,False
eggnog:4687P@72275,alpha/beta hydrolase fold domain-containing protein,lipid/ester,"B: degradative, export uncertain",1,BS11,1,False
eggnog:468T4@72275,alpha/beta hydrolase,lipid/ester,A: degradative + exported,1,EZ55,1,False
eggnog:46DIJ@72275,SGNH/GDSL hydrolase family protein,lipid/ester,"B: degradative, export uncertain",1,BS11,1,False
eggnog:COG3386@2,SMP-30/gluconolactonase/LRE family protein,lipid/ester,"B: degradative, export uncertain",1,BGP6,1,False
eggnog:464IE@72275,glycerophosphodiester phosphodiesterase,nucleic acid,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46500@72275,ExeM/NucH family extracellular endonuclease,nucleic acid,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,14,False
eggnog:466G2@72275,HNH endonuclease,nucleic acid,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:4676A@72275,ribonuclease HI,nucleic acid,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,8,False
eggnog:467Q0@72275,3^-5^ exonuclease,nucleic acid,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:4684U@72275,"RNA 2^,3^-cyclic phosphodiesterase",nucleic acid,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:468BF@72275,YraN family protein,nucleic acid,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46CMU@72275,endonuclease,nucleic acid,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46DJV@72275,hypothetical protein,nucleic acid,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:1R7CE@1224,bifunctional diguanylate cyclase/phosphodiesterase,nucleic acid,"B: degradative, export uncertain",6,AD45;ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,6,False
eggnog:465I9@72275,bifunctional diguanylate cyclase/phosphodiesterase,nucleic acid,"B: degradative, export uncertain",6,AD45;ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,6,False
eggnog:4664E@72275,putative bifunctional diguanylate cyclase/phosphodiesterase,nucleic acid,"B: degradative, export uncertain",6,AD45;ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,6,False
eggnog:466HU@72275,EAL domain-containing protein,nucleic acid,"B: degradative, export uncertain",6,AD45;ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,6,False
eggnog:466IR@72275,EAL domain-containing protein,nucleic acid,A: degradative + exported,6,AD45;ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,12,False
eggnog:466XA@72275,LabA-like NYN domain-containing protein,nucleic acid,"B: degradative, export uncertain",6,AD45;ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,6,False
eggnog:468AM@72275,ribonuclease P protein component,nucleic acid,"B: degradative, export uncertain",6,ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,6,False
eggnog:46947@72275,GIY-YIG nuclease family protein,nucleic acid,"B: degradative, export uncertain",6,AD45;ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,6,False
eggnog:46D4G@72275,bifunctional diguanylate cyclase/phosphodiesterase,nucleic acid,"B: degradative, export uncertain",6,AD45;ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,6,False
eggnog:463ZV@72275,sensor domain-containing phosphodiesterase,nucleic acid,"B: degradative, export uncertain",5,AD45;ATCC27126;BGP6;EZ55;HOT1A3,5,False
eggnog:464FM@72275,sensor domain-containing phosphodiesterase,nucleic acid,"B: degradative, export uncertain",5,AD45;BGP6;EZ55;HOT1A3;MIT1002,5,False
eggnog:464N1@72275,AAA family ATPase,nucleic acid,"B: degradative, export uncertain",5,AD45;ATCC27126;BS11;EZ55;HOT1A3,6,False
eggnog:466J8@72275,diguanylate phosphodiesterase,nucleic acid,"B: degradative, export uncertain",5,AD45;ATCC27126;BGP6;EZ55;MIT1002,6,False
eggnog:469HC@72275,DNA/RNA non-specific endonuclease,nucleic acid,A: degradative + exported,5,AD45;ATCC27126;BGP6;EZ55;HOT1A3,5,False
eggnog:46AJR@72275,bifunctional diguanylate cyclase/phosphodiesterase,nucleic acid,"B: degradative, export uncertain",5,AD45;ATCC27126;BGP6;EZ55;HOT1A3,5,False
eggnog:465J1@72275,class I SAM-dependent methyltransferase,nucleic acid,"B: degradative, export uncertain",4,ATCC27126;EZ55;HOT1A3;MIT1002,5,False
eggnog:46BNM@72275,RNase H1/viroplasmin domain-containing protein,nucleic acid,"B: degradative, export uncertain",3,EZ55;HOT1A3;MIT1002,3,False
eggnog:1N7PN@1224,type II toxin-antitoxin system RelE/ParE family toxin,nucleic acid,"B: degradative, export uncertain",2,AD45;MIT1002,2,False
eggnog:464FV@72275,ribonuclease E,nucleic acid,"B: degradative, export uncertain",2,BGP6;EZ55,2,False
eggnog:46600@72275,NYN domain-containing protein,nucleic acid,"B: degradative, export uncertain",2,EZ55;HOT1A3,2,False
eggnog:4666S@72275,DUF2034 domain-containing protein,nucleic acid,"B: degradative, export uncertain",2,EZ55;HOT1A3,2,False
eggnog:46B2S@72275,class I SAM-dependent methyltransferase,nucleic acid,"B: degradative, export uncertain",2,AD45;BS11,2,False
eggnog:1MU96@1224,type I restriction endonuclease subunit R,nucleic acid,"B: degradative, export uncertain",1,EZ55,2,False
eggnog:1MVI1@1224,group II intron reverse transcriptase/maturase,nucleic acid,"B: degradative, export uncertain",1,EZ55,1,False
eggnog:1MVJB@1224,phage terminase large subunit,nucleic acid,"B: degradative, export uncertain",1,BS11,1,False
eggnog:1MZ3N@1224,type II toxin-antitoxin system RelE/ParE family toxin,nucleic acid,"B: degradative, export uncertain",1,HOT1A3,1,False
